,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description
35,It's a Wonderful Life,1946,130,8.6,89,21,"4,76,152",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
36,Seppuku,1962,133,8.6,85,47,"62,597","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
37,Sita Ramam,2022,163,8.6,,,"61,758","An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
38,The Prestige,2006,130,8.5,66,53.09,"13,82,402","After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
39,Back to the Future,1985,116,8.5,87,210.61,"12,53,518","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
40,Gisaengchung,2019,132,8.5,96,53.37,"8,73,956",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
41,Gladiator,2000,155,8.5,67,187.71,"15,50,619",A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
42,The Departed,2006,151,8.5,85,132.38,"13,69,934",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
43,Alien,1979,117,8.5,89,78.9,"9,12,280",The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.
44,Whiplash,2014,106,8.5,89,13.09,"9,20,655",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
45,Léon,1994,110,8.5,64,19.5,"12,00,839","12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
46,The Pianist,2002,150,8.5,85,32.57,"8,67,989",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
47,The Usual Suspects,1995,106,8.5,77,23.34,"11,12,608",The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
48,The Lion King,1994,88,8.5,88,422.78,"10,97,285","Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
49,American History X,1998,119,8.5,62,6.72,"11,51,761","Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
50,Hotaru no haka,1988,89,8.5,94,46,"2,91,861",A young boy and his little sister struggle to survive in Japan during World War II.
51,The Intouchables,2011,112,8.5,57,13.18,"8,90,758","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
52,Psycho,1960,109,8.5,97,32,"6,93,868","A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
53,Casablanca,1942,102,8.5,100,1.02,"5,88,497",A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
54,Once Upon a Time in the West,1968,165,8.5,82,5.32,"3,39,755",A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
55,Rear Window,1954,112,8.5,100,36.76,"5,05,881","A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
56,Nuovo Cinema Paradiso,1988,155,8.5,80,11.99,"2,71,463",A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
57,City Lights,1931,87,8.5,99,0.02,"1,90,158","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
58,Modern Times,1936,87,8.5,96,0.16,"2,50,746",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
59,96,II 2018,158,8.5,,,"33,646",Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
60,Memento,2000,113,8.4,83,25.54,"12,77,091",A man with short-term memory loss attempts to track down his wife's murderer.
61,The Dark Knight Rises,2012,164,8.4,78,448.14,"17,61,545","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
62,Spider-Man: Into the Spider-Verse,2018,117,8.4,87,190.24,"6,15,401",Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
63,Raiders of the Lost Ark,1981,115,8.4,85,248.16,"10,06,763","In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
64,Django Unchained,2012,165,8.4,81,162.81,"16,19,946","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
65,Joker,I 2019,122,8.4,59,335.45,"13,81,002","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
66,Avengers: Endgame,2019,181,8.4,78,858.37,"12,00,821","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
67,The Shining,1980,146,8.4,66,44.02,"10,60,625","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
68,Aliens,1986,137,8.4,84,85.16,"7,38,697","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
69,Oldeuboi,2003,101,8.4,77,0.71,"6,03,564","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
70,Avengers: Infinity War,2018,149,8.4,68,678.82,"11,42,664",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
71,Apocalypse Now,1979,147,8.4,94,83.47,"6,87,709",A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
72,Amadeus,1984,160,8.4,87,51.97,"4,13,533","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
73,Idi i smotri,1985,142,8.4,,91,"88,282","After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,8.4,97,0.28,"5,03,942","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
75,The Lives of Others,2006,137,8.4,89,11.29,"3,99,279","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
76,Kimi no na wa.,2016,106,8.4,81,5.02,"2,93,932","Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
77,Coco,I 2017,105,8.4,81,209.73,"5,46,380","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
78,WALL·E,2008,98,8.4,95,223.81,"11,55,638","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
79,Capharnaüm,2018,126,8.4,75,1.66,"97,339","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
80,3 Idiots,2009,170,8.4,67,6.53,"4,15,008","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
81,Das Boot,1981,149,8.4,86,11.49,"2,57,484",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
82,Paths of Glory,1957,88,8.4,90,62,"2,04,364","After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
83,Sunset Blvd.,1950,110,8.4,94,61,"2,28,990",A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
84,Witness for the Prosecution,1957,116,8.4,76,8.18,"1,31,199",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
85,The Great Dictator,1940,125,8.4,,0.29,"2,30,579",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
86,Tengoku to jigoku,1963,143,8.4,90,87,"48,880",An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
87,Kaithi,2019,145,8.4,,,"36,952","Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
88,Sardar Udham,2021,164,8.4,,,"44,711","A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
89,Asuran,2019,141,8.4,,,"31,622","The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
90,Drishyam 2,2021,152,8.4,,,"39,387",A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
91,Top Gun: Maverick,2022,130,8.3,78,718.73,"6,16,792","After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
92,Braveheart,1995,178,8.3,68,75.6,"10,62,862",Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
93,Inglourious Basterds,2009,153,8.3,69,120.54,"15,10,473","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
94,Heat,1995,170,8.3,76,67.44,"6,85,676",A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
95,American Beauty,1999,122,8.3,84,130.1,"11,80,519",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
96,Requiem for a Dream,2000,102,8.3,71,3.64,"8,68,981",The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
97,Good Will Hunting,1997,126,8.3,70,138.43,"10,14,823","Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
98,2001: A Space Odyssey,1968,149,8.3,84,56.95,"6,92,341","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 9000."
99,To Kill a Mockingbird,1962,129,8.3,88,113,"3,24,539","Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a Black man against an undeserved rape charge, and tries to educate his young children against prejudice."
100,Reservoir Dogs,1992,99,8.3,81,2.83,"10,52,277","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
101,A Clockwork Orange,1971,136,8.3,77,6.21,"8,54,641","In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
102,Scarface,1983,170,8.3,65,45.6,"8,76,738","In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
103,Eternal Sunshine of the Spotless Mind,2004,108,8.3,89,34.4,"10,39,917","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
104,Jagten,2012,115,8.3,77,0.69,"3,45,981","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
105,Full Metal Jacket,1987,116,8.3,78,46.36,"7,65,283",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
106,Once Upon a Time in America,1984,229,8.3,75,5.32,"3,63,889","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
107,Toy Story,1995,81,8.3,96,191.8,"10,29,621",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
108,Hamilton,2020,160,8.3,89,110,"1,04,182","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast."
109,Up,2009,96,8.3,88,293,"10,81,937","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
110,Incendies,2010,131,8.3,80,6.86,"1,86,891",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
111,Lawrence of Arabia,1962,218,8.3,100,44.82,"3,03,804","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
112,Toy Story 3,2010,103,8.3,92,415,"8,63,855","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
113,Le fabuleux destin d'Amélie Poulain,2001,122,8.3,69,33.23,"7,74,411","Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
114,Star Wars: Episode VI - Return of the Jedi,1983,131,8.3,58,309.13,"10,86,887","After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side."
115,Mononoke-hime,1997,134,8.3,76,2.38,"4,11,777","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
116,Vertigo,1958,128,8.3,100,3.2,"4,14,047","A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
117,Citizen Kane,1941,119,8.3,100,1.59,"4,53,840","Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
118,Singin' in the Rain,1952,103,8.3,99,8.82,"2,51,337",A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
119,Metropolis,1927,153,8.3,98,1.24,"1,79,702","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
120,North by Northwest,1959,136,8.3,98,13.28,"3,37,022","A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
121,Jodaeiye Nader az Simin,2011,123,8.3,95,7.1,"2,51,368",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
122,The Sting,1973,129,8.3,83,159.6,"2,71,443",Two grifters team up to pull off the ultimate con.
123,The Apartment,1960,125,8.3,94,18.6,"1,88,581","A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
124,Judgment at Nuremberg,1961,179,8.3,60,136,"81,006","In 1948, an American court in occupied Germany tries four Nazis judged for war crimes."
125,Dangal,2016,161,8.3,,12.39,"1,99,773",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
126,M - Eine Stadt sucht einen Mörder,1931,117,8.3,,0.03,"1,63,105","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
127,Ikiru,1952,143,8.3,92,0.06,"83,069",A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
128,Double Indemnity,1944,107,8.3,95,5.72,"1,62,166","A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
129,Kantara,2022,148,8.3,,,"97,182","When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice."
130,Taare Zameen Par,2007,165,8.3,,1.22,"2,00,039","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
131,Ladri di biciclette,1948,89,8.3,,0.33,"1,69,175","In post-war Italy, a working-class man's bicycle is stolen, endangering his efforts to find work. He and his son set out to find it."
132,K.G.F: Chapter 2,2022,168,8.3,,6.6,"1,41,399","In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
133,Ayla: The Daughter of War,2017,125,8.3,,,"42,060","Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind."
134,Vikram,2022,175,8.3,,,"65,063","A special investigator assigned a case of serial killings discovers the case is not what it seems to be, and leading down this path is only going to end in a war between everyone involved."
135,The Kid,1921,68,8.3,,5.45,"1,30,534","The Tramp cares for an abandoned child, but events put their relationship in jeopardy."
136,Chhichhore,2019,143,8.3,,0.9,"58,946","A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers."
137,Shershaah,2021,135,8.3,,,"1,25,763","Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely in India finally winning the Kargil War in 1999."
138,Ratsasan,2018,170,8.3,,,"47,613",A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
139,Drishyam,2013,160,8.3,,,"42,884",A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
140,The Wolf of Wall Street,2013,180,8.2,75,116.9,"14,87,540","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
141,Batman Begins,2005,140,8.2,70,206.85,"15,21,333","After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city."
142,Spider-Man: No Way Home,2021,148,8.2,71,804.75,"8,18,919","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
143,No Country for Old Men,2007,122,8.2,92,74.28,"10,13,709",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
144,Indiana Jones and the Last Crusade,1989,127,8.2,65,197.17,"7,86,608","In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers."
145,Shutter Island,2010,138,8.2,63,128.01,"13,80,885","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
146,Jurassic Park,1993,127,8.2,68,402.45,"10,26,143",A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
147,There Will Be Blood,2007,158,8.2,93,40.22,"6,12,354","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
148,The Truman Show,1998,103,8.2,90,125.62,"11,33,421",An insurance salesman discovers his whole life is actually a reality TV show.
149,Taxi Driver,1976,114,8.2,94,28.26,"8,76,254","A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
150,1917,2019,119,8.2,78,159.23,"6,33,431","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
151,Snatch,2000,104,8.2,55,30.33,"8,80,917","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
152,Kill Bill: Vol. 1,2003,111,8.2,69,70.1,"11,50,722","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
153,The Thing,1982,109,8.2,57,13.78,"4,43,632",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
154,Die Hard,1988,132,8.2,72,83.01,"9,08,004",A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.
155,Casino,1995,178,8.2,73,42.44,"5,40,865","In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite."
156,Green Book,2018,130,8.2,69,85.08,"5,28,465",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
157,The Sixth Sense,1999,107,8.2,64,293.51,"10,18,597","Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife."
158,A Beautiful Mind,2001,135,8.2,72,170.74,"9,57,506","After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
